,contour
247,"[[2682, 3980], [2467, 3971], [2467, 3752], [2672, 3753]]"
248,"[[4152, 3808], [4282, 3817], [4344, 4154], [4231, 4176]]"
249,"[[3921, 4841], [4032, 4811], [4099, 5132], [3970, 5158]]"
250,"[[3608, 4620], [3738, 4595], [3821, 4873], [3688, 4900]]"
251,"[[2883, 3328], [2719, 3302], [2640, 2916], [2776, 2921]]"
252,"[[2182, 2475], [2058, 2395], [2132, 2183], [2310, 2250]]"
253,"[[2923, 1869], [2776, 1870], [2812, 1628], [2964, 1594]]"
254,"[[2373, 3671], [2177, 3665], [2298, 3550], [2422, 3559]]"
255,"[[2412, 1692]]"
256,"[[3173, 4656], [3053, 4658], [2934, 4254], [3063, 4288]]"
257,"[[4147, 3783], [4274, 3778], [4341, 4123], [4227, 4152]]"
258,"[[2684, 3997], [2460, 3980], [2453, 3744], [2677, 3769]]"
259,"[[3766, 4065], [3892, 4058], [3955, 4295], [3813, 4297]]"
260,"[[3348, 4638], [3489, 4641], [3576, 4991], [3447, 5004]]"
261,"[[3922, 4845], [4031, 4802], [4091, 5104], [3965, 5134]]"
262,"[[3607, 4616], [3734, 4586], [3820, 4865], [3687, 4895]]"
263,"[[2888, 3354], [2721, 3313], [2659, 2948], [2779, 2937]]"
264,"[[2920, 1870], [2769, 1872], [2826, 1675], [2962, 1616]]"
265,"[[2175, 2474], [2060, 2411], [2146, 2243], [2327, 2307]]"
266,"[[2374, 3679], [2182, 3683], [2272, 3553], [2423, 3567]]"
267,"[[3175, 4671], [3052, 4674], [2947, 4292], [3077, 4321]]"
268,"[[4142, 3766], [4269, 3759], [4340, 4104], [4221, 4126]]"
269,"[[3351, 4638], [3487, 4641], [3572, 4982], [3443, 4993]]"
270,"[[3763, 4046], [3889, 4032], [3950, 4275], [3803, 4266]]"
271,"[[3608, 4620], [3730, 4577], [3819, 4860], [3685, 4886]]"
272,"[[2686, 4013], [2465, 4005], [2454, 3761], [2666, 3770]]"
273,"[[3916, 4810], [4028, 4782], [4087, 5081], [3959, 5114]]"
274,"[[2890, 3376], [2732, 3348], [2664, 2981], [2778, 2954]]"
275,"[[2936, 1907], [2772, 1871], [2819, 1653], [2960, 1617]]"
276,"[[2175, 2503], [2059, 2378], [2182, 2253], [2347, 2346]]"
277,"[[3179, 4697], [3057, 4696], [2952, 4319], [3083, 4342]]"
278,"[[4132, 3731], [4263, 3721], [4336, 4079], [4217, 4107]]"
279,"[[3350, 4633], [3487, 4636], [3573, 4977], [3440, 4984]]"
280,"[[3761, 4033], [3887, 4025], [3944, 4256], [3797, 4250]]"
281,"[[3605, 4611], [3723, 4560], [3817, 4852], [3684, 4882]]"
282,"[[2688, 4030], [2465, 4022], [2470, 3794], [2674, 3795]]"
283,"[[3909, 4783], [4023, 4757], [4085, 5070], [3958, 5102]]"
284,"[[2891, 3407], [2745, 3387], [2655, 2981], [2787, 2987]]"
285,"[[2936, 1907], [2779, 1895], [2810, 1628], [2954, 1619]]"
286,"[[2404, 1774], [2489, 1390]]"
287,"[[2460, 2572], [2295, 2562], [2329, 2410], [2475, 2389]]"
288,"[[4122, 3713], [4258, 3702], [4334, 4060], [4214, 4094]]"
289,"[[3183, 4723], [3062, 4722], [2955, 4337], [3084, 4363]]"
290,"[[3340, 4624], [3484, 4627], [3565, 4958], [3441, 4984]]"
291,"[[3602, 4604], [3719, 4551], [3816, 4848], [3681, 4873]]"
292,"[[3756, 4020], [3883, 4012], [3938, 4236], [3787, 4221]]"
293,"[[3907, 4765], [4019, 4737], [4081, 5047], [3954, 5079]]"
294,"[[2692, 4047], [2469, 4038], [2473, 3811], [2687, 3820]]"
295,"[[2892, 3428], [2743, 3400], [2673, 3047], [2789, 3019]]"
296,"[[2460, 2587], [2295, 2578], [2314, 2393], [2490, 2417]]"
